"netustm","gender","age","married","urban","native","edulevel","paidwork","happy","household","cntry"
8,"female",16,"not married","rural","native","Grundskole",0,7,6,"BE"
240,"female",24,"not married","rural","non-native","Lang videregående",0,6,4,"BE"
120,"male",58,"married","rural","non-native","Kort/Mellemlang videregående",0,8,2,"BE"
90,"male",35,"not married","urban","non-native","Erhvervsuddannelse",1,10,1,"BE"
120,"male",61,"not married","urban","non-native","Lang videregående",1,7,1,"BE"
120,"female",46,"married","urban","native","Erhvervsuddannelse",1,6,5,"BE"
NA,"female",70,"not married","rural","native","Erhvervsuddannelse",0,3,1,"BE"
10,"male",54,"married","rural","native","Lang videregående",1,7,3,"BE"
180,"male",22,"not married","rural","native","Erhvervsuddannelse",1,9,2,"BE"
NA,"male",83,"not married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
210,"male",29,"not married","urban","native","Grundskole",1,4,1,"BE"
120,"male",64,"married","rural","native","Kort/Mellemlang videregående",0,8,2,"BE"
300,"female",17,"not married","rural","native","Gymnasium",0,8,5,"BE"
60,"male",62,"not married","urban","native","Gymnasium",1,8,1,"BE"
300,"male",20,"not married","rural","native","Kort/Mellemlang videregående",0,9,5,"BE"
120,"male",17,"not married","rural","native","Gymnasium",0,9,6,"BE"
15,"male",84,"not married","rural","non-native","Erhvervsuddannelse",0,10,2,"BE"
120,"male",43,"not married","rural","native","Erhvervsuddannelse",1,6,4,"BE"
10,"female",33,"married","rural","native","Lang videregående",1,9,4,"BE"
240,"male",21,"not married","rural","native","Erhvervsuddannelse",1,9,5,"BE"
9,"male",33,"married","rural","native","Kort/Mellemlang videregående",0,9,3,"BE"
20,"male",64,"married","urban","non-native","Grundskole",1,9,4,"BE"
240,"female",50,"married","rural","native","Lang videregående",1,8,4,"BE"
8,"male",48,"married","rural","native","Erhvervsuddannelse",0,8,3,"BE"
210,"female",80,"married","rural","native","Kort/Mellemlang videregående",0,8,2,"BE"
30,"female",45,"married","rural","non-native","Lang videregående",0,8,3,"BE"
240,"female",55,"married","rural","non-native","Erhvervsuddannelse",0,9,2,"BE"
180,"female",18,"not married","urban","native","Gymnasium",0,8,5,"BE"
300,"female",35,"not married","rural","non-native","Lang videregående",1,8,4,"BE"
240,"male",64,"married","rural","native","Lang videregående",1,8,1,"BE"
120,"male",22,"not married","rural","native","Kort/Mellemlang videregående",0,8,4,"BE"
NA,"male",83,"married","rural","native","Erhvervsuddannelse",1,7,2,"BE"
240,"female",25,"not married","urban","native","Erhvervsuddannelse",0,6,5,"BE"
150,"male",51,"not married","rural","native","Erhvervsuddannelse",1,7,2,"BE"
180,"female",44,"married","rural","non-native","Lang videregående",1,9,4,"BE"
8,"female",44,"not married","rural","native","Lang videregående",1,9,5,"BE"
120,"male",56,"married","rural","native","Kort/Mellemlang videregående",1,8,5,"BE"
120,"female",53,"married","rural","non-native","Lang videregående",0,8,2,"BE"
180,"female",42,"not married","rural","native","Kort/Mellemlang videregående",1,8,3,"BE"
90,"male",67,"married","rural","native","Gymnasium",0,9,1,"BE"
180,"female",25,"not married","rural","native","Lang videregående",1,7,5,"BE"
NA,"female",78,"married","rural","native","Erhvervsuddannelse",0,6,2,"BE"
120,"male",54,"married","rural","non-native","Erhvervsuddannelse",1,10,5,"BE"
60,"male",68,"married","urban","native","Erhvervsuddannelse",1,9,3,"BE"
6,"male",26,"not married","rural","native","Lang videregående",1,10,4,"BE"
NA,"female",75,"not married","rural","native","Erhvervsuddannelse",0,1,1,"BE"
10,"male",37,"married","urban","native","Lang videregående",1,10,4,"BE"
30,"male",59,"married","rural","native","Kort/Mellemlang videregående",1,8,2,"BE"
180,"male",32,"married","rural","non-native","Erhvervsuddannelse",1,10,3,"BE"
60,"male",50,"married","rural","native","Kort/Mellemlang videregående",1,8,4,"BE"
45,"male",80,"married","urban","native","Erhvervsuddannelse",0,8,2,"BE"
60,"male",50,"not married","rural","non-native","Erhvervsuddannelse",0,8,2,"BE"
120,"female",39,"not married","urban","native","Lang videregående",1,5,1,"BE"
180,"male",43,"not married","urban","native","Lang videregående",0,6,2,"BE"
120,"male",32,"married","urban","native","Erhvervsuddannelse",1,8,3,"BE"
10,"male",40,"married","rural","native","Lang videregående",1,9,4,"BE"
60,"male",57,"married","rural","native","Lang videregående",1,8,4,"BE"
NA,"male",76,"married","rural","native","Kort/Mellemlang videregående",0,8,2,"BE"
120,"female",29,"married","rural","native","Kort/Mellemlang videregående",0,8,3,"BE"
NA,"female",47,"not married","rural","native","Lang videregående",1,6,3,"BE"
10,"male",27,"not married","rural","non-native","Lang videregående",1,8,2,"BE"
120,"female",46,"married","rural","native","Gymnasium",1,10,6,"BE"
NA,"male",38,"not married","rural","non-native","Lang videregående",1,10,3,"BE"
NA,"female",62,"married","rural","native","Kort/Mellemlang videregående",1,10,2,"BE"
60,"male",39,"not married","urban","native","Lang videregående",1,7,4,"BE"
300,"female",81,"not married","urban","native","Kort/Mellemlang videregående",0,6,1,"BE"
270,"male",22,"not married","rural","native","Erhvervsuddannelse",0,10,4,"BE"
180,"male",17,"not married","rural","native","Gymnasium",0,9,4,"BE"
8,"male",31,"not married","rural","native","Kort/Mellemlang videregående",1,8,3,"BE"
75,"male",61,"not married","rural","non-native","Kort/Mellemlang videregående",0,7,2,"BE"
7,"female",33,"married","urban","non-native","Erhvervsuddannelse",1,9,4,"BE"
NA,"female",68,"not married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
240,"female",32,"married","urban","native","Lang videregående",1,9,2,"BE"
300,"male",55,"married","urban","non-native","Gymnasium",1,8,3,"BE"
15,"male",53,"married","rural","native","Erhvervsuddannelse",1,8,4,"BE"
10,"female",65,"married","rural","native","Gymnasium",1,8,2,"BE"
10,"male",32,"not married","rural","non-native","Lang videregående",1,9,1,"BE"
7,"male",18,"not married","rural","native","Gymnasium",0,8,4,"BE"
210,"female",31,"not married","rural","native","Erhvervsuddannelse",1,8,4,"BE"
240,"female",22,"not married","rural","native","Erhvervsuddannelse",0,10,4,"BE"
120,"male",20,"not married","rural","native","Erhvervsuddannelse",0,7,5,"BE"
60,"male",60,"married","rural","native","Kort/Mellemlang videregående",0,8,2,"BE"
8,"male",47,"married","rural","native","Kort/Mellemlang videregående",1,9,6,"BE"
NA,"female",42,"not married","urban","native","Lang videregående",1,6,2,"BE"
NA,"male",68,"not married","rural","native","Grundskole",0,8,2,"BE"
NA,"female",77,"married","rural","native","Erhvervsuddannelse",0,7,3,"BE"
300,"male",24,"not married","rural","native","Kort/Mellemlang videregående",0,7,2,"BE"
60,"male",34,"married","urban","native","Erhvervsuddannelse",1,10,3,"BE"
120,"male",48,"not married","rural","native","Kort/Mellemlang videregående",1,5,1,"BE"
8,"male",43,"not married","rural","native","Lang videregående",1,8,3,"BE"
300,"female",17,"not married","rural","native","Gymnasium",0,7,4,"BE"
60,"male",56,"not married","rural","native","Erhvervsuddannelse",1,9,2,"BE"
60,"male",30,"not married","urban","native","Lang videregående",1,8,3,"BE"
240,"female",57,"not married","rural","native","Kort/Mellemlang videregående",1,8,1,"BE"
60,"female",23,"married","urban","non-native","Erhvervsuddannelse",1,6,2,"BE"
180,"female",61,"married","rural","native","Kort/Mellemlang videregående",1,8,2,"BE"
60,"female",73,"married","rural","native","Gymnasium",0,9,2,"BE"
30,"female",63,"married","rural","native","Gymnasium",0,7,2,"BE"
NA,"male",25,"not married","urban","native","Gymnasium",1,7,3,"BE"
30,"female",22,"not married","rural","non-native","Erhvervsuddannelse",0,2,7,"BE"
NA,"female",90,"not married","rural","native","Gymnasium",0,5,1,"BE"
180,"male",57,"not married","rural","native","Grundskole",1,8,2,"BE"
240,"male",65,"married","urban","native","Lang videregående",1,8,2,"BE"
NA,"male",71,"married","rural","non-native","Erhvervsuddannelse",0,5,2,"BE"
10,"male",61,"married","rural","native","Kort/Mellemlang videregående",1,6,3,"BE"
120,"female",58,"married","rural","native","Gymnasium",1,9,2,"BE"
8,"male",23,"not married","urban","native","Erhvervsuddannelse",0,8,4,"BE"
6,"male",19,"not married","urban","non-native","Gymnasium",0,10,4,"BE"
60,"male",69,"not married","rural","native","Erhvervsuddannelse",0,7,2,"BE"
NA,"male",35,"not married","rural","non-native","Erhvervsuddannelse",1,7,2,"BE"
240,"female",70,"married","urban","native","Erhvervsuddannelse",0,7,2,"BE"
120,"male",49,"not married","rural","native","Gymnasium",1,9,3,"BE"
60,"female",47,"married","rural","native","Erhvervsuddannelse",1,8,4,"BE"
45,"male",67,"not married","rural","native","Gymnasium",0,7,1,"BE"
30,"female",50,"married","urban","native","Kort/Mellemlang videregående",0,3,4,"BE"
180,"female",39,"married","urban","non-native","Lang videregående",0,9,7,"BE"
NA,"male",58,"married","urban","non-native","Erhvervsuddannelse",1,8,4,"BE"
60,"male",70,"not married","rural","native","Lang videregående",0,8,3,"BE"
30,"female",30,"not married","rural","native","Kort/Mellemlang videregående",1,8,2,"BE"
300,"female",60,"married","rural","native","Kort/Mellemlang videregående",1,7,2,"BE"
5,"male",62,"married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
8,"male",52,"not married","rural","native","Erhvervsuddannelse",0,7,1,"BE"
180,"female",19,"not married","rural","native","Gymnasium",0,7,4,"BE"
120,"female",41,"not married","rural","native","Erhvervsuddannelse",0,6,1,"BE"
45,"female",74,"married","rural","native","Lang videregående",0,9,2,"BE"
150,"male",22,"not married","rural","native","Kort/Mellemlang videregående",0,8,3,"BE"
180,"male",76,"married","rural","native","Erhvervsuddannelse",0,7,2,"BE"
6,"female",39,"not married","rural","native","Erhvervsuddannelse",1,9,2,"BE"
300,"female",31,"not married","rural","native","Kort/Mellemlang videregående",1,7,3,"BE"
120,"male",63,"married","rural","native","Gymnasium",0,9,2,"BE"
NA,"female",68,"married","rural","native","Erhvervsuddannelse",0,9,2,"BE"
8,"male",35,"not married","rural","native","Erhvervsuddannelse",1,9,2,"BE"
8,"female",29,"not married","rural","native","Lang videregående",1,8,4,"BE"
300,"male",16,"not married","rural","native","Gymnasium",0,10,4,"BE"
240,"male",30,"not married","rural","native","Erhvervsuddannelse",0,9,1,"BE"
NA,"male",70,"not married","rural","native","Lang videregående",0,9,2,"BE"
0,"male",43,"married","urban","native","Lang videregående",1,7,4,"BE"
120,"male",72,"married","rural","native","Erhvervsuddannelse",0,7,2,"BE"
300,"male",31,"not married","rural","native","Erhvervsuddannelse",1,7,2,"BE"
30,"female",30,"married","urban","native","Erhvervsuddannelse",0,8,5,"BE"
120,"male",69,"married","rural","native","Erhvervsuddannelse",0,7,2,"BE"
60,"female",57,"married","rural","native","Erhvervsuddannelse",0,9,3,"BE"
180,"male",67,"married","urban","non-native","Erhvervsuddannelse",0,8,2,"BE"
8,"male",58,"not married","rural","non-native","Lang videregående",1,9,2,"BE"
180,"female",42,"married","urban","non-native","Kort/Mellemlang videregående",1,8,3,"BE"
300,"female",41,"not married","rural","native","Lang videregående",1,7,3,"BE"
6,"female",33,"not married","rural","native","Lang videregående",1,8,2,"BE"
7,"male",58,"married","rural","native","Kort/Mellemlang videregående",1,9,2,"BE"
8,"male",20,"not married","urban","native","Erhvervsuddannelse",0,6,2,"BE"
10,"female",18,"not married","rural","native","Erhvervsuddannelse",1,4,1,"BE"
120,"female",27,"not married","rural","native","Kort/Mellemlang videregående",1,8,4,"BE"
90,"female",44,"married","rural","non-native","Erhvervsuddannelse",1,10,4,"BE"
60,"female",67,"married","rural","native","Kort/Mellemlang videregående",0,8,2,"BE"
120,"male",44,"not married","rural","native","Kort/Mellemlang videregående",1,8,1,"BE"
120,"male",51,"married","rural","native","Erhvervsuddannelse",1,3,4,"BE"
240,"male",60,"not married","rural","non-native","Erhvervsuddannelse",0,8,1,"BE"
60,"male",66,"not married","rural","native","Gymnasium",0,7,1,"BE"
120,"female",70,"married","rural","native","Gymnasium",0,7,2,"BE"
30,"male",48,"married","urban","non-native","Gymnasium",0,8,7,"BE"
120,"female",60,"married","rural","native","Kort/Mellemlang videregående",1,8,2,"BE"
NA,"male",49,"not married","urban","native","Grundskole",1,8,4,"BE"
120,"female",34,"not married","rural","native","Kort/Mellemlang videregående",1,7,3,"BE"
270,"male",27,"not married","urban","native","Gymnasium",0,6,3,"BE"
240,"male",28,"not married","rural","native","Grundskole",1,8,1,"BE"
60,"male",67,"not married","rural","native","Erhvervsuddannelse",0,3,1,"BE"
45,"female",67,"married","urban","native","Kort/Mellemlang videregående",0,9,2,"BE"
120,"male",66,"not married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
300,"male",42,"married","rural","native","Lang videregående",1,8,5,"BE"
60,"male",41,"not married","rural","non-native","Erhvervsuddannelse",1,7,4,"BE"
75,"male",72,"not married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
NA,"male",999,"not married","urban","non-native","Gymnasium",1,6,1,"BE"
210,"female",59,"married","rural","native","Lang videregående",0,7,2,"BE"
NA,"female",61,"not married","urban","native","Kort/Mellemlang videregående",0,8,1,"BE"
120,"female",29,"not married","rural","native","Erhvervsuddannelse",1,8,2,"BE"
120,"male",60,"married","rural","native","Lang videregående",1,6,3,"BE"
300,"male",22,"not married","rural","native","Erhvervsuddannelse",0,8,2,"BE"
210,"female",18,"not married","urban","native","Grundskole",0,8,5,"BE"
8,"male",54,"not married","urban","native","Gymnasium",0,5,1,"BE"
6,"male",70,"married","rural","native","Kort/Mellemlang videregående",1,9,2,"BE"
120,"male",65,"married","rural","non-native","Erhvervsuddannelse",0,9,5,"BE"
180,"male",64,"married","rural","native","Lang videregående",0,9,2,"BE"
270,"male",28,"not married","rural","native","Erhvervsuddannelse",1,2,2,"BE"
6,"female",18,"not married","rural","native","Erhvervsuddannelse",0,8,3,"BE"
300,"female",23,"not married","urban","native","Kort/Mellemlang videregående",0,6,4,"BE"
90,"female",62,"not married","urban","non-native","Grundskole",1,7,3,"BE"
10,"female",36,"married","rural","native","Erhvervsuddannelse",1,8,3,"BE"
8,"male",19,"not married","rural","non-native","Gymnasium",0,8,6,"BE"
240,"female",35,"married","rural","native","Kort/Mellemlang videregående",1,10,4,"BE"
8,"male",50,"married","rural","native","Erhvervsuddannelse",1,7,4,"BE"
10,"female",51,"not married","rural","native","Erhvervsuddannelse",1,5,2,"BE"
30,"female",56,"married","rural","native","Lang videregående",1,8,3,"BE"
